Kuu,Maakond,Pindala(m2),Arv,Pindala(m2) Kokku,Pindala(m2) Keskmine,Tehingu summa (eur) Kokku,Tehingu summa (eur) Minimaalne,Tehingu summa (eur) Maksimaalne,Pinnaühiku hind(eur /m2) Minimaalne,Pinnaühiku hind(eur /m2) Maksimaalne,Pinnaühiku hind(eur /m2) Mediaan,Pinnaühiku hind(eur /m2) Keskmine,Pinnaühiku hind(eur /m2) Standardhälve
2005-01-01,Järva maakond,"55-69,99",2,118.1,59.05,NA,NA,NA,NA,NA,NA,NA,NA
2005-01-01,Järva maakond,"70-249,99",1,77.7,77.7,NA,NA,NA,NA,NA,NA,NA,NA
2005-01-01,Lääne maakond,"30-40,99",5,188.3,37.66,55923,5113,17895,126.87,466.02,287.52,293.67,152.52
2005-01-01,Lääne maakond,"41-54,99",7,330.2,47.17,124564,1917,25565,45.54,565.59,435.49,372.46,170.62
2005-01-01,Lääne maakond,"55-69,99",3,200.3,66.77,NA,NA,NA,NA,NA,NA,NA,NA
2005-01-01,Lääne maakond,"70-249,99",3,226.2,75.4,NA,NA,NA,NA,NA,NA,NA,NA
2005-01-01,Lääne-Viru maakond,"10-29,99",7,177.9,25.41,30775,290,9715,10.23,365.21,152.98,170.14,116.87
2005-01-01,Lääne-Viru maakond,"30-40,99",16,601,37.56,76931,389,23008,10.22,635.59,47.05,132.89,196.26
2005-01-01,Lääne-Viru maakond,"41-54,99",32,1548.3,48.38,204187,382,26204,7.6,510.79,67.38,133.26,134.12
2005-01-01,Lääne-Viru maakond,"55-69,99",16,964.9,60.31,148426,525,28760,9.53,430.54,96.96,149.37,138.98
2005-01-01,Lääne-Viru maakond,"70-249,99",6,459.9,76.65,67746,575,26843,7.61,327.35,115.3,146.09,143.83
2005-01-01,Põlva maakond,"41-54,99",4,190.9,47.73,NA,NA,NA,NA,NA,NA,NA,NA
2005-01-01,Põlva maakond,"55-69,99",4,255.6,63.9,NA,NA,NA,NA,NA,NA,NA,NA
2005-01-01,Põlva maakond,"70-249,99",3,245,81.67,NA,NA,NA,NA,NA,NA,NA,NA
2005-01-01,Pärnu maakond,"10-29,99",4,69.9,17.48,NA,NA,NA,NA,NA,NA,NA,NA
2005-01-01,Pärnu maakond,"30-40,99",14,504.9,36.06,291821,6263,36749,171.13,940.44,519.66,575.9,231.83
2005-01-01,Pärnu maakond,"41-54,99",29,1398.6,48.23,980640,11185,67107,227.33,1462.03,715.92,702.6,316.25
2005-01-01,Pärnu maakond,"55-69,99",18,1118.9,62.16,672092,9587,83085,141.19,1320.91,579.14,602.95,328.47
2005-01-01,Pärnu maakond,"70-249,99",12,996.8,83.07,NA,NA,NA,NA,NA,NA,NA,NA
2005-01-01,Rapla maakond,"10-29,99",2,29.7,14.85,NA,NA,NA,NA,NA,NA,NA,NA
2005-01-01,Rapla maakond,"30-40,99",4,151.5,37.88,NA,NA,NA,NA,NA,NA,NA,NA
2005-01-01,Rapla maakond,"41-54,99",10,482,48.2,100980,1278,22369,29.12,424.46,180.44,203.66,144.17
2005-01-01,Rapla maakond,"55-69,99",8,519,64.88,86600,639,21730,10.98,325.3,149.49,166.62,113.98
2005-01-01,Rapla maakond,"70-249,99",4,311.3,77.83,NA,NA,NA,NA,NA,NA,NA,NA
2005-01-01,Saare maakond,"41-54,99",3,138.6,46.2,NA,NA,NA,NA,NA,NA,NA,NA
2005-01-01,Saare maakond,"55-69,99",2,125.2,62.6,NA,NA,NA,NA,NA,NA,NA,NA
2005-01-01,Saare maakond,"70-249,99",1,78,78,NA,NA,NA,NA,NA,NA,NA,NA
2005-01-01,Tartu maakond,"10-29,99",13,257.5,19.81,132473,3196,21730,172.73,880.22,487.22,518.94,222.89
2005-01-01,Tartu maakond,"30-40,99",24,862.2,35.93,455019,639,29399,20.82,802.1,569.48,522.67,204.75
2005-01-01,Tartu maakond,"41-54,99",39,1837.5,47.12,919327,7222,39465,146.19,830.85,550.96,500.72,164.4
2005-01-01,Tartu maakond,"55-69,99",38,2390.5,62.91,1206871,8309,52408,128.61,877.85,515.94,506.09,209.96
2005-01-01,Tartu maakond,"70-249,99",35,3534.4,100.98,1820282,7669,134214,78.23,1062.66,455.47,511.47,229.52
2005-01-01,Valga maakond,"10-29,99",5,129.5,25.9,NA,NA,NA,NA,NA,NA,NA,NA
2005-01-01,Valga maakond,"30-40,99",5,186.7,37.34,6519,320,2556,8.85,75.86,23.12,35.86,29.78
2005-01-01,Valga maakond,"41-54,99",4,199.8,49.95,NA,NA,NA,NA,NA,NA,NA,NA
2005-01-01,Valga maakond,"55-69,99",5,302.8,60.56,28760,639,14380,11.49,215.92,93.02,90.16,82.04
2005-01-01,Viljandi maakond,"10-29,99",1,27.8,27.8,NA,NA,NA,NA,NA,NA,NA,NA
2005-01-01,Viljandi maakond,"30-40,99",5,190,38,47806,2556,16937,64.39,437.64,255.27,252.75,142.56
2005-01-01,Viljandi maakond,"41-54,99",6,270,45,56396,2135,19110,45.91,430.4,202.97,210.62,140.95
2005-01-01,Viljandi maakond,"55-69,99",9,585.4,65.04,135173,1278,28121,18.61,433.3,280.82,233.19,156.66
2005-01-01,Viljandi maakond,"70-249,99",4,313.8,78.45,NA,NA,NA,NA,NA,NA,NA,NA
2005-01-01,Võru maakond,"10-29,99",1,28.2,28.2,NA,NA,NA,NA,NA,NA,NA,NA
